group_id	summ
7GGJlp1aWfcXGQz6q7SkXQ	This place is the worst bar I've ever had in a long time. The bartender was extremely rude and didn't even acknowledge us. The food was mediocre at best. The service was terrible. I would not recommend this place to anyone who wants to go back.
4SxQLZ2EcjlFRG6BvCi0iA	I've been here a few times now and I have never had a bad experience. The salon is clean and the staff is always friendly. I have been to this salon several times and each time I get my hair done. I highly recommend this salon.
1Z4_zSITNVQ_Bt027R0S1g	This is a great place to hang out with friends and watch the game. The food is good and the service is great. If you're looking for a new Yorker                                                                                                                                                  ,this is the place to go!
4oWEqa3paBylDXRfTPB-bA	This place is awesome! The food is good and the service is great. I would recommend this place to anyone looking for a quick bite to eat. The only downside is that it's a little pricey                                                                                                          ,but it's worth it.
065c76tt1dXBNmoGBymUgQ	This place is the best hotdog I've had in a long time. The fries are awesome. I had the hot dog and it was fantastic. The only thing that could have been a bit more is that the fries could be a bit better. However                                                                             ,the service was great.
0Hcks5q-DgJbDlmEWolx4A	This place is amazing. I had the lobster ravioli and it was delicious. The waiter was very attentive and made sure we were happy with our meal. I would recommend this place if you're looking for a good meal.
4KtHdcaZgJNZvbRgs5edKQ	This is the best donair place I've been to in Toronto. The owner is super friendly and helpful. Even if you don't live in Toronto                                                                                                                                                                 ,this is a great place to go!
3S471NOBFUzQY7YqCImKBQ	We've been going to this place for years and I have never had a bad experience. The ladies who work here are very friendly and helpful. I highly recommend this place!
1xO2LvScpcMfl2BNm1aISg	This place is amazing! I have been here several times and have never had a bad experience. The staff is friendly and knowledgable. I would recommend this place to anyone looking for a relaxing place to spend your money on the strip.
7mMxJjeZqnN_nOhWhyU-Vg	This place is the best sushi I have ever had in my life! Everything was fresh and delicious. The owner was very friendly and helpful. I would definitely recommend this place to anyone looking for a good sushi place in Henderson.
6qDRqHWqf0EeHupSUEBfKg	First time here and I'm glad to have found this place. The food is delicious and the service is top notch. I would highly recommend this place if you're in the area.
7wst00GRGs8qsuf2QtsnaA	If you're looking for a laid back bar                                                                                                                                                                                                                                                             ,this is the place to go with friends. The bartenders are friendly and attentive                                                                                                                                      ,and the food is even better. This place is a must try.
35fWtS1LZkaZ-ooKupJ1XA	This place is a joke                                                                                                                                                                                                                                                                              ,the service was slow and the server didn't even acknowledge us when we asked for a refill. She was very rude and gave us tips on how to get my drink. I'm not sure what else to say.
5XVabANkehj7oH-Z7YZkwg	This place is the best brunch place I've ever been to. Food is fresh and delicious. Service was great as well. The only thing I didn't like is that it's a little pricey.
7qo6rqDjlHds8ObxzxBD4A	This place is the best pizza I've ever had in my life. The crust was very thin and chewy                                                                                                                                                                                                          ,the sauce was great. Also had the garlic knots and they were delicious. I'll be back for sure!
53jjJCXpXSRaHfu_ZJePRA	If you're in the mood for a quick bite to eat                                                                                                                                                                                                                                                     ,this is the place. I had the huevos rancheros and it was delicious. Even though it was a little hard to find                                                                                                         ,the service was great. We will be back!
7VYFL_s1HK1vOU-dzyW1Ew	This place is the best! Everything is fresh and delicious. I've been going to this place for years and have never had a bad experience. The staff is always friendly and helpful. I'll definitely be going back.
3l5TusofKjr8rk6-DDtuoQ	The food was great                                                                                                                                                                                                                                                                                ,service was great. We ordered the chicken kabob and it was delicious. The chicken was very tender and juicy. I would definitely come back again!
31acLzszeCCpeXmyAnoTdg	This place is the best Italian restaurant I have ever been to. The food is delicious and the service is great. We ordered the salmon carpaccio and it was delicious. We will be back for more!
01Ov9eDxKRY5k6ImMdiWLQ	This place is the worst Chinese food I've ever had in my life. Nothing to write home about but the food is good and the service is excellent. If you haven't tried this place yet you'll be disappointed.
8MWiywu09bhLWIpzVaD4gw	Love this place! Great food and service. I'm not a huge fan of the French toast                                                                                                                                                                                                                   ,but I think it's hard to find something that makes me want to come back. It's a little pricy but worth it.
#NAME5	This place is a disgrace. Food is not fresh at all and it's not worth the price. If you're looking for authentic Indian food then this is the place to go.
4nLqlBBt6jcvphkIQxz0gQ	This place is the worst service I've ever had. The food was mediocre at best                                                                                                                                                                                                                      ,and the service was slow. I would not recommend this place to anyone who wants to have a good time at this location. The only reason I'm giving 4 stars is because of the service.
5k34OJo3BsEaoyMsW86eZg	Hands down the best Mexican food I've ever had in a long time. It's a great place to hang out with friends and grab some drinks. The food is great and the service is great. If you're looking for a quick bite                                                                                   ,this is your place.
5QkfMhF0KgK28hMYOKngRw	If you are looking for a car wash                                                                                                                                                                                                                                                                 ,this is the place to go. I've been to a lot of car washes before and I have never had a problem with my car. The service was fast and friendly. Will definitely be back!
1KhBzrqmU164bss64jR5uA	This place is awesome. The food is great and the staff is friendly. I had the pulled pork and it was delicious. Definitely going back again.
7k5F32LULnjplZVQdI4DdQ	It's a sports bar                                                                                                                                                                                                                                                                                 ,but the service was great. The bartender was very attentive and friendly. The food was good as well. If you're looking for a burger or fries                                                                         ,this is the place to go.
6u-x45q0ETB7SQTAAuKSHw	This place is the best Greek restaurant I've ever been to! It's a little pricier than most of the places in Toronto                                                                                                                                                                               ,but the food is delicious. I had the lamb souvlaki and it was delicious. The only downside is that it doesn't take too long to get your food.
1aj4TG0eFq6NaPBKk6bK7Q	Food was great                                                                                                                                                                                                                                                                                    ,service was prompt and friendly. I had the French toast and it was absolutely delicious! I will definitely be back to try the rest of the menu. Also                                                                 ,it's hard to find a place in the area.
4p6Wce7Ed707QS2-yQkvZw	This place is the best place in the valley. I've tried a few different dishes and all of them were delicious. The service was great                                                                                                                                                               ,and the food was delicious. I'll be going back to try more things on the menu.
#NAME6	This place is fantastic! I have been going to this place for years. The food is great and the staff is friendly and helpful. Highly recommend this place.
13-n6Gm0AK0QK28iatttWQ	Love this place! The food is delicious                                                                                                                                                                                                                                                            ,and the staff is friendly and helpful. I've had a lot of things on the menu                                                                                                                                          ,but everything is delicious. I would definitely recommend this place.
4Wou6LarHqefHP21qRu0Ag	I've been here a few times now and have never been disappointed. The staff is extremely friendly and helpful. I have been to this location several times and have always been happy with the food. I'm not a fan of this location                                                                 ,but it's always clean.
3cbsPfoUUrysf-M8FI_0IA	This place is the best place I have ever been to. Food is delicious and the service is great. I had an omelette                                                                                                                                                                                   ,which was delicious. My wife had the eggs Benedict and it was fantastic. Even though it was a little pricey for what you get                                                                                         ,you can't beat that.
#NAME7	The food here is always fresh and delicious. I've been here a few times now and have never had a bad meal. The staff is always friendly and helpful. I highly recommend this place!
6B-sZzuNYnVz5sk2c4EfHA	I love this place! The food is so good and the portions are generous. I just wish they had more meat options                                                                                                                                                                                      ,but if you're looking for a great meal you can't go wrong with this place.
6LtbAtQKXWFj7QcqBnr6SA	This place is the best sushi I have ever had. Service was prompt and friendly. The food was excellent. I had the salmon and tuna roll. It was delicious. I will definitely be back.
2S9t90Q0qZWCV7X_u0rxZQ	This is the worst ramen place I've ever been to. The food is mediocre at best                                                                                                                                                                                                                     ,and the service is terrible. Even though it's a little pricy                                                                                                                                                         ,I think that's what you pay for. They also have some of the best ramen in Toronto.
#NAME8	This is the best gelato I've had in a long time. The staff is extremely friendly and helpful. If you haven't tried this place                                                                                                                                                                                     ,you must try it! You'll be glad you did!
0EpnzIpeFvhISkxMTIv9WA	This place is the best I've ever had in my life. The food was delicious and the staff was very friendly and helpful. I would definitely recommend this place to anyone who loves Jamaican food!
3hmoQIAUaYF9u_QaxfjwwQ	This place is a great place to hang out with friends and watch the game. The food was great and the staff was very friendly. I would recommend this place if you're in the mood for a quick bite to eat                                                                                           ,especially if you are in the area.
6uV3KMOo8YQofuNUs4D9pA	This place is great. I have been here twice now and have never had a bad meal here. The staff is very friendly and helpful. The food is delicious                                                                                                                                                 ,especially if you're in the area.
-8R_-EkGpUhBk55K9Dd4mg	This is the best Thai restaurant I've been to in Vegas. The food is great and the service is great. Even though I don't want to wait long for my food                                                                                                                                             ,I'll be back.
5CJOaZc8Muu8WothauxQ4g	This place is the best pizza I've ever had in my life. If you're looking for pizza                                                                                                                                                                                                                ,this is the place to go! I ordered the Philly cheese pizza and it was delicious. I will definitely be back!
3BGzRYh6GQbZz3LGAGb-sQ	First time here and the food was very good. Service was friendly and attentive. I would definitely recommend this place to anyone looking for a good place to watch sports. If you're in the area                                                                                                 ,this is your place.
6ExIH5FoPyMRhtz4p-2K1g	If you're looking for sushi                                                                                                                                                                                                                                                                       ,this is the place to go if you want sushi. The sushi is fresh and delicious. The only reason I didn't give it 5 stars is because of the lack of seating. It's a little pricy but worth it.
5vTdyRqZ-wnOZ4ZANrzFOQ	This place is a hidden gem. I had the lamb chops and it was delicious. The only thing I could say is that it's hard to find a restaurant in the area                                                                                                                                              ,but it's worth the wait. I will be back.
5CTmFgqxx7nl8jzQK2Du-A	I love this place! I have been going to this place for years now and I have never had a bad experience. The staff is always friendly and professional. My eyebrows look natural and I'm always happy with the results.
2z7xERz1Nonyw8Kjr4SffA	This place is the best tacos I have ever had. I've been eating here for years and have never had a bad meal. The carne asada tacos are awesome. My only complaint is that they don't take credit cards.
#NAME9	This place is amazing! I had the burger and fries                                                                                                                                                                                                                                                                 ,both were delicious. The staff was friendly and helpful. I will be back for sure.
#NAME10	The food here is great. I'm not a fan of this place                                                                                                                                                                                                                                                              ,but I think it's worth it. The staff was very friendly and attentive. My only critique is that it's a bit pricey for the amount of food you get.
0bjFYstj8USMzEV4ZQldjA	Best coffee shop in Oakland. Very friendly staff                                                                                                                                                                                                                                                  ,great coffee                                                                                                                                                                                                         ,and friendly staff. I've been going to this place for years and have never been disappointed.
2Xix4Iv6gdj3F6fbJX3zgA	This store is awesome. I have been here a couple of times and the staff is very friendly and helpful. If you're looking for ammo                                                                                                                                                                  ,this is the place to go. They also have a great selection of firearms and accessories.
2um9bzTSvD3f2tkdBoA38g	The food here is great! I had the lamb burger and it was delicious. The only thing I could say is that it is a little pricey for what you get                                                                                                                                                     ,but the service was excellent. Will definitely be back!
6g2EQgi1QiXcp9TvbyG-Ig	This is the best rental company I've ever been to. The staff is friendly and helpful. I had an issue with my car                                                                                                                                                                                  ,but it was hard to find a rental car dealer. All of the agents were very helpful and friendly.
#NAME11	I've been here a few times now and the food is always fresh. I had the Chipotle burrito                                                                                                                                                                                                                          ,it was delicious. The only reason I would give it 5 stars is because of the lack of customer service. If you're looking for a quick bite                                                                             ,this is your place.
41ojNbT0vv2Rtto8yPcwSg	This place is the best place to get a Groupon deal. My husband and I came here for the first time tonight and it was very fun. It was a blast                                                                                                                                                     ,especially for the kids. Definitely recommend!
7QSFLU0AGAUqwnQWg3qHqQ	These guys are the best! I highly recommend this company to anyone who is looking for a plumber in the area. He did a great job on my dryer vent                                                                                                                                                  ,and explained everything thoroughly. I would highly recommend him!
0Rni7ocMC_Lg2UH0lDeKMQ	This place is the best pizza I've ever had. If you're looking for a quick bite                                                                                                                                                                                                                    ,this is the place to go. The crust is thick and juicy                                                                                                                                                                ,and the sauce is very good. I wish they had more locations in Chicago.
2tfMXjOotr1r168mVttUmQ	The food here is delicious and reasonably priced. I've been here a few times now and have never had a bad meal. The staff is friendly and helpful                                                                                                                                                 ,especially when they're busy. It's a little pricey                                                                                                                                                                   ,but it's worth it.
2mdF-c66TY3eSyTVI4GhQg	We've been here a few times and each time I'm in love with it. The staff was friendly and helpful. They even have a rewards program which makes you want to go back.
5HGO1CxM0qPIS_u4L90Bvw	These guys did a great job repairing my exhaust system. They took care of all of my exhaust systems and gave me exactly what I wanted. Also                                                                                                                                                       ,the price was fair and the service was great.
4-ErDo1ggAg0DWrVwPa-IQ	Dr. Wong is the best! I have been coming to Dr. Wong for years and have always been happy with my eye care. The staff is always friendly and helpful. I would recommend them to anyone!
0p0PqX7Zsm_0lvXzEWpwWA	This is the best library I've ever been to. The staff is friendly and helpful. They have a great selection of books                                                                                                                                                                               ,DVDs                                                                                                                                                                                                                 ,books and all sorts of books. I'll be back!
0XoTT540HMB_5q4Exj8yGA	This is the best hotel in Las Vegas. The staff is very friendly and helpful. If you are staying at the Mandalay Bay                                                                                                                                                                               ,this is a great place to stay. I have stayed here several times and have never had a bad experience.
2tC8oReqFUT0_uVQ3kHePA	This is the best Chipotle in the valley. I have been here several times now and have never had a bad experience. The staff is friendly and attentive                                                                                                                                              ,and the food is always fresh. I highly recommend this place.
59OgPGGzKFYqwSG_U06kuA	This place is the best Korean restaurant I've ever been to. The food is delicious and the service is excellent. If you're looking for Korean food                                                                                                                                                 ,this is the place!
4M09MJwxRx8utAgEntFVrQ	This place is the worst bar I have ever been to. The food was mediocre at best. The service was slow and inattentive. I would not recommend this place if you're looking for a quick bite to eat. They also have a lot of potential.
0G1y7uV7w1D2uziS4Lt_Dw	This place is one of the best Mexican food I've ever had! Service was quick and friendly and the food was delicious. I had the enchiladas suizas and they were very good. If you like Mexican food this is the place to go!
-R2kwt0qMnzwEdAfXPvkXg	If you're looking for authentic Indian food then this is the place. You can't go wrong with any of the dishes. The food is delicious and the service is top notch.
7u0DEiUxTO3rAJ7C8ak46Q	This place is awesome! I have been going to this place for years and have never had a bad experience. Everyone is super friendly and helpful. I had my nose pierced by him and he did an awesome job on my nose piercing. I will definitely be going back to him.
7aOaX7QASqa8ab8eAx8TEA	If you're looking for a quick car wash                                                                                                                                                                                                                                                            ,this is the place to go! The staff is always friendly and helpful. I've been going here for years and will continue to go back!
4HoCAPiFH2BFznYxGR7sjQ	This place is the best place to get your nails done. I came in to get my nails done and they did a great job on my mani and pedi. Highly recommend!
5ts_r4K6y103zNXt0k6nEg	This is the best Mexican restaurant I have ever been to. The food is always fresh and delicious. The service is great. I've never had a bad meal at this place.
5AzGqv0jjRMXrcRIE1zCvg	If you're looking for a laid back dive bar                                                                                                                                                                                                                                                        ,this is the place to go. Great bartenders                                                                                                                                                                            ,friendly bartenders and tons of TVs. I've been here several times and have never had a bad experience.
2QznyHGF0PuiYkrl5RU66A	This place is amazing. The food is authentic and delicious. I had the carne asada tacos and it was delicious. The staff was very friendly and helpful. If you want authentic Mexican food                                                                                                         ,this is the place to go.
4DVqziHGABcYUUw_E36c5g	This is the first time I've been here. It's a little pricey but worth the money. The staff is very friendly and helpful. If you are in Cleveland                                                                                                                                                  ,this is your place to go. You can't beat it!
06Vts51gZrtBnFMs6sBPbA	Dr. <UNK> is the best doctor I've ever had in my life. He listened to my concerns and answered all my questions and concerns. I highly recommend him if you're looking for a new patient.
1TTQ41NqKks69GltQSQNIA	This is a great place to stay in Vegas. I have been here twice and both times the food was great                                                                                                                                                                                                  ,and the price was very reasonable. It was a bit pricey                                                                                                                                                               ,but worth the money.
0TYd9CxJMqaqO6svyWym6A	Best shawarma I've ever had in a long time. Best shawarma in the GTA                                                                                                                                                                                                                              ,hands down the best falafel I have ever had. The service is fast and friendly. Will definitely be back!
5mu4SWwVTgNUXw0lWLaoZw	This Macy's is one of the best Macy's I've ever been to. The customer service is top notch and the staff is very friendly and helpful. If you're looking for a great Macy's then this is the place for you!
3bVc_IDRyAXpg__qkEEXyw	This place is a must try! Everything I've tried has been delicious                                                                                                                                                                                                                                ,and the staff is super friendly. The food is fresh and delicious. I will definitely be back to try more of the menu if you're in the area.
309bnXTHirKMU6wz1HwRjQ	It's a sports bar                                                                                                                                                                                                                                                                                 ,but the food is fantastic. They have a wide variety of beers and beer. If you're looking for a quick bite to eat                                                                                                     ,this is the place to go.
#NAME12	This is the best sushi burrito I've ever had. It comes with miso soup and a side of rice. It's a little pricy but you get what you pay for. My favorite is the tuna poke bowl. It is a bit pricey but it's worth it.
#NAME13	First time using taurus moving company. I have used them for several years and have never had a problem with them. They were prompt                                                                                                                                                                              ,courteous and professional. I would highly recommend them to anyone in the area.
#NAME14	Best pizza I've ever had in my life. The crust is buttery and delicious. I had the deep dish pizza and it was really good. If you're looking for a quick bite                                                                                                                                                    ,this is the place to go. You can't beat it!
0ihQJhd_-nUP1p01NBDjLQ	First time here and it was a great experience. Ordered the chicken gyro                                                                                                                                                                                                                           ,it was very tasty and fresh. The only thing I didn't like is that it's hard to find a place in the middle of the east side. Will definitely be back.
6I27BTuHI5PMvOBG4WS8NQ	This place is the best Italian food I've ever had in my life. Service is friendly and attentive. However                                                                                                                                                                                          ,the food is not as good as it gets. If you are looking for a good Italian restaurant                                                                                                                                 ,this is the place to go.
1rebduwtmrHQhl32djRS7A	This place is awesome. It's a great place to grab a quick bite to eat                                                                                                                                                                                                                             ,and the staff is extremely friendly. I had the Philly cheesesteak and it was delicious. If you're in the area                                                                                                        ,this is your place.
5QNXZcclknB2PkfeN7FJWQ	This place is awesome! The food was great                                                                                                                                                                                                                                                         ,the service was great. We had the catfish po'boy and it was delicious. The only reason I didn't give 5 stars is because of the fact that they don't deliver.
4qQVf2lt-47VcQ4v54PEXQ	The food here is delicious! We ordered the eggplant parm and it was delicious. Our server was very attentive and made sure we were taken care of. The food was great                                                                                                                              ,and the service was great. We'll be back!
29e_OB7jRf7-5Tdn7_bd_g	This is the second time I have used this dealership. Everyone was friendly and helpful. I had the pleasure of dealing with the dealership and was very happy with the results. I would recommend them to anyone looking for a new Nissan dealer. Thank you John for being honest and professional.
7xfeQhen2wLnvFuQNvmTAg	This restaurant is the best Indian food I've had in Cleveland. The service is great and the food is delicious. My favorite is the chicken tikka masala and garlic naan. We will definitely be back!
5Lcit9Zt6TF9bmKoFMhF0g	If you are looking for authentic Chinese food then this is the place. I had the beef noodle soup and it was delicious. My boyfriend had the pork noodle soup                                                                                                                                      ,which was really good. If you're looking for a quick bite to eat                                                                                                                                                     ,this is your place!
5lZpyuWjC7L9uJfLfqIQ_w	Best ramen I've had in a long time. Everything is fresh and delicious. The owner was very friendly and helpful. We will definitely be back!
55X2pom73IhiP19UFXpfPA	This place is the best place I've ever stayed in my life. The staff is very friendly and helpful. The rooms are clean and well maintained. Even though it's a little pricey for what you get.
0kB69ewW3BVse8EhU4kxrQ	This place is the best macarons I've ever had. The macarons are amazing! I tried the pistachio mousse cake and it was amazing. It's a little pricey                                                                                                                                               ,but worth every penny. The staff is very friendly and helpful. I'll be back!
8JcCvA_92PVcNQUh1J_TaA	We had a blast at this place. The staff was extremely friendly and helpful. My husband and I had a great time with our family and we will definitely be back! Thank you Captain Mike for making us feel like family!
2r6UD7ExSMrK0LGeglquDA	This is the best sushi place in the valley. I've been here three times now and have never had a bad experience. The food is delicious                                                                                                                                                             ,the service is top notch                                                                                                                                                                                             ,and the chefs are super friendly. Even though it's a little pricey for what you get.
1QwX7Cgkm6KnlcGNDTh6EQ	First time here and the food was excellent. Service was very friendly and attentive. I had the lobster Mac and cheese burger. Both were delicious! Definitely one of the best burgers in the city. I would highly recommend this place.
67Pa_CtXthgJzXfY8JzLDQ	These guys are awesome. I had the truffle fries                                                                                                                                                                                                                                                   ,and it was delicious. Definitely worth trying if you're looking for a quick bite to eat. The only thing is that the fries are soggy.
5s51wuld6gIIiERpDU4yrw	This place is the best sandwich I've ever had in my life. Ordered the chicken sandwich and it was delicious. The only thing I didn't like is that it's a bit pricey                                                                                                                               ,but the quality of the food is worth it.
2Q89PhkcyT9uZnQORmqMKg	If you're looking for authentic Chinese food                                                                                                                                                                                                                                                      ,this is the place to go with friends. The food is decent and the service is fast and friendly. I think I'll be back.
3I7xY7DjWearTz7d4TGdbw	The food here is very good. The service is great and the food is delicious. We had chicken enchiladas                                                                                                                                                                                             ,chips and salsa. It was delicious. I will definitely be back.
8DPZWbP6gKaBsGoAFQkSaA	First time here and the food was very good. We had the chicken and waffles                                                                                                                                                                                                                        ,both were delicious. The waiter was very friendly and attentive. I would definitely come back again.
0QBFtNNj9RIggZGeivcbEg	This place is the best Mexican food I've ever had. The service is great and the food is delicious. I highly recommend this place.
6qKhUQwyMLBl9ehwB-cfxQ	If you're looking for a sweet tooth this is the place to go if you want delicious pastries and sweets. I just wish they had a bigger selection of desserts                                                                                                                                        ,but I don't think I'll be back. The only reason I'm giving 4 stars is because of the lack of customer service.
3fdtp-bzoE4ZgTakkcEBzQ	This is the best kept secret in Las Vegas. This place is a must try                                                                                                                                                                                                                               ,especially if you are in Vegas. You can't beat the view of the strip                                                                                                                                                 ,but you get what you pay for. Very friendly and helpful staff. If you're in Vegas                       ,this is your place!
3HmrkEZQWaemS2aPoe-xJA	The food was great and service was great. We had the artichoke dip and it was delicious! Highly recommend this place.
5BSrguKmbBb9W4R5IvbW7w	This place is awesome! I had a great experience with Aaron and he was extremely helpful and kind. I will definitely be coming back to this place for all my jewelry needs.
4kDLEb1OgE7IrO54lCkn3A	This place is the best Mexican restaurant in Toronto. The food is pretty good                                                                                                                                                                                                                     ,and the service is impeccable. I had the chorizo tacos                                                                                                                                                               ,which were a bit bland                                                                                  ,but the beans were very tasty. Definitely worth trying if you're in the area.
333W59XcrXZsJlnBAAx5mQ	The food was delicious and the service was great! I had the enchiladas and it was delicious. My husband had the carne asada tacos and they were both delicious. If you're in the area you need to try this place.
0PMMhCAz2S5dmcA9mJ3dRg	This place is the best brewery in the valley. It's hard to find a local brewery in Gilbert                                                                                                                                                                                                        ,but it's definitely worth it. The beer selection is great and the staff is super friendly. I'll be back!
1nQMj-F3Oz3IeP9h10CNIA	First time here and the food was delicious. I had the lamb chops and a side of fries. Both were delicious! Definitely going back for more.
#NAME15	This place is awesome. I ordered the steak sandwich and it was delicious. The only thing I didn't like is that it's a little pricey for what you get. I'll be back for sure. Service was fast and friendly.
6TDdpon8LosFXvjL9QJdYg	This salon is the best! I've been going to <UNK> for years and she does an amazing job on my hair. She listens to what you want and makes you feel so comfortable. I've never had a bad experience at this place.
#NAME16	This place has the best ramen I've had in a long time. The staff was very friendly and helpful. The only reason I didn't give it 5 stars is because it's a little pricey for the amount of food you get.
4cWrtMvfj-tomyEPgP7KFg	The food here is amazing! I had the melting pot and it was delicious. Our server was very attentive and made sure we were taken care of. The waiter was very friendly and helpful. We will definitely be back!
3A0xvZPEUduT0GE9VxxUUQ	This place is great. The food was great                                                                                                                                                                                                                                                           ,the owner was very friendly and helpful. I would highly recommend this place to anyone looking for a quick bite to eat. The only downside is that it's a little pricey.
4ugJ4F8jDJ9-2dEiZ47wLg	This place is the best sushi place I've ever been to. The food was delicious and the service was excellent. I would highly recommend this place to anyone looking for a happy hour. The only downside is that it's a little pricey                                                                ,but worth it!
